"﻿""Perioden""","""Regio's""","""Bevolking aan het begin van de periode (aantal)""","""Levend geboren kinderen (aantal)""","""Overledenen (aantal)""","""Vertrek uit de gemeente/Vertrek naar andere gemeente (aantal)""","""Bevolkingsgroei/Bevolkingsgroei, relatief (%)"""
"""2019""","""Weesp""",19334,222,225,1082,"2,09"
"""2020""","""Weesp""",19738,250,227,1091,"3,58"
"""2021*""","""Weesp""",20445,267,240,1230,"1,57"
"""2019""","""Wehl""",,,,,
"""2020""","""Wehl""",,,,,
"""2021*""","""Wehl""",,,,,
"""2019""","""Werkendam""",,,,,
"""2020""","""Werkendam""",,,,,
"""2021*""","""Werkendam""",,,,,
"""2019""","""Wervershoof""",,,,,
"""2020""","""Wervershoof""",,,,,
"""2021*""","""Wervershoof""",,,,,
"""2019""","""West Betuwe""",50697,520,368,1754,"0,85"
"""2020""","""West Betuwe""",51128,519,502,1896,"0,72"
"""2021*""","""West Betuwe""",51496,552,494,1952,"0,92"
"""2019""","""West Maas en Waal""",19076,163,177,740,"1,3"
"""2020""","""West Maas en Waal""",19324,189,212,776,"1,33"
"""2021*""","""West Maas en Waal""",19581,214,195,814,"0,53"
"""2019""","""Wester-Koggenland""",,,,,
"""2020""","""Wester-Koggenland""",,,,,
"""2021*""","""Wester-Koggenland""",,,,,
"""2019""","""Westerkwartier""",63031,621,562,2365,"0,47"
"""2020""","""Westerkwartier""",63329,614,592,2342,"0,55"
"""2021*""","""Westerkwartier""",63678,674,646,2013,"0,98"
"""2019""","""Westerveld""",19348,120,234,943,"0,58"
"""2020""","""Westerveld""",19460,150,242,1012,"1,03"
"""2021*""","""Westerveld""",19661,129,244,912,"0,97"
"""2019""","""Westervoort""",14944,136,105,777,"0,18"
"""2020""","""Westervoort""",14971,137,139,815,"0,29"
"""2021*""","""Westervoort""",15014,157,136,843,"-0,46"
"""2019""","""Westerwolde""",25199,192,293,8773,"2,12"
"""2020""","""Westerwolde""",25733,177,306,7919,"1,87"
"""2021*""","""Westerwolde""",26215,236,406,14888,"1,43"
"""2019""","""Westland""",108603,1154,775,2932,"1,63"
"""2020""","""Westland""",110375,1109,962,3039,"0,91"
"""2021*""","""Westland""",111382,1234,930,3344,"0,99"
"""2019""","""Weststellingwerf""",25840,234,286,907,"0,29"
"""2020""","""Weststellingwerf""",25914,227,330,921,"0,83"
"""2021*""","""Weststellingwerf""",26130,257,302,945,"0,57"
"""2019""","""Westvoorne""",14626,75,160,589,"0,72"
"""2020""","""Westvoorne""",14731,100,175,626,"1,15"
"""2021*""","""Westvoorne""",14900,109,197,593,"0,39"
"""2019""","""Wierden""",24351,228,222,829,"0,39"
"""2020""","""Wierden""",24446,223,220,793,"0,38"
"""2021*""","""Wierden""",24538,244,244,807,"0,43"
"""2019""","""Wieringen""",,,,,
"""2020""","""Wieringen""",,,,,
"""2021*""","""Wieringen""",,,,,
"""2019""","""Wieringermeer""",,,,,
"""2020""","""Wieringermeer""",,,,,
"""2021*""","""Wieringermeer""",,,,,
"""2019""","""Wijchen""",40951,323,346,1329,"0,39"
"""2020""","""Wijchen""",41110,360,410,1379,"0,37"
"""2021*""","""Wijchen""",41261,353,393,1357,"0,2"
"""2019""","""Wijdemeren""",24013,217,270,1190,"1,44"
"""2020""","""Wijdemeren""",24358,186,251,1270,"0,43"
"""2021*""","""Wijdemeren""",24463,228,269,1179,"0,16"
"""2019""","""Wijk bij Duurstede""",23762,220,166,843,"0,64"
"""2020""","""Wijk bij Duurstede""",23914,214,183,953,"0,05"
"""2021*""","""Wijk bij Duurstede""",23925,232,183,864,"-0,01"
"""2019""","""Winschoten""",,,,,
"""2020""","""Winschoten""",,,,,
"""2021*""","""Winschoten""",,,,,
"""2019""","""Winsum""",,,,,
"""2020""","""Winsum""",,,,,
"""2021*""","""Winsum""",,,,,
"""2019""","""Winterswijk""",28903,239,299,996,"-0,17"
"""2020""","""Winterswijk""",28854,259,314,944,"0,58"
"""2021*""","""Winterswijk""",29022,246,353,1139,"0,53"
"""2019""","""Wisch""",,,,,
"""2020""","""Wisch""",,,,,
"""2021*""","""Wisch""",,,,,
"""2019""","""Woensdrecht""",21866,179,213,828,"0,05"
"""2020""","""Woensdrecht""",21876,169,226,800,"0,69"
"""2021*""","""Woensdrecht""",22028,151,255,653,"0,44"
"""2019""","""Woerden""",52197,486,402,1737,"0,2"
"""2020""","""Woerden""",52299,525,439,1842,"0,76"
"""2021*""","""Woerden""",52694,580,457,1903,"0,35"
"""2019""","""Wognum""",,,,,
"""2020""","""Wognum""",,,,,
"""2021*""","""Wognum""",,,,,
"""2019""","""De Wolden""",24110,216,226,985,"0,91"
"""2020""","""De Wolden""",24330,204,268,1078,"0,18"
"""2021*""","""De Wolden""",24374,229,302,968,"0,57"
"""2019""","""Wormerland""",16329,141,123,696,"-0,36"
"""2020""","""Wormerland""",16270,137,155,698,"0,39"
"""2021*""","""Wormerland""",16333,133,176,689,"0,28"
"""2019""","""Woudenberg""",13166,167,106,491,"1,49"
"""2020""","""Woudenberg""",13362,165,119,534,"2,07"
"""2021*""","""Woudenberg""",13639,173,111,525,"1,74"
"""2019""","""Woudrichem""",,,,,
"""2020""","""Woudrichem""",,,,,
"""2021*""","""Woudrichem""",,,,,
"""2019""","""Wûnseradiel""",,,,,
"""2020""","""Wûnseradiel""",,,,,
"""2021*""","""Wûnseradiel""",,,,,
"""2019""","""Wymbritseradiel""",,,,,
"""2020""","""Wymbritseradiel""",,,,,
"""2021*""","""Wymbritseradiel""",,,,,
"""2019""","""Zaanstad""",155885,1705,1267,5996,"0,58"
"""2020""","""Zaanstad""",156794,1566,1561,6320,"0,07"
"""2021*""","""Zaanstad""",156901,1710,1428,6399,"0,15"
"""2019""","""Zaltbommel""",28451,341,210,1060,"1,51"
"""2020""","""Zaltbommel""",28881,349,251,1092,"1,96"
"""2021*""","""Zaltbommel""",29447,354,234,1021,"1,72"
"""2019""","""Zandvoort""",17011,122,226,724,"0,62"
"""2020""","""Zandvoort""",17116,123,234,867,"0,3"
"""2021*""","""Zandvoort""",17168,122,224,924,"-0,38"
"""2019""","""Zederik""",,,,,
"""2020""","""Zederik""",,,,,
"""2021*""","""Zederik""",,,,,
"""2019""","""Zeevang""",,,,,
"""2020""","""Zeevang""",,,,,
"""2021*""","""Zeevang""",,,,,
"""2019""","""Zeewolde""",22309,211,103,1140,"1,54"
"""2020""","""Zeewolde""",22653,238,115,1194,1
"""2021*""","""Zeewolde""",22879,237,148,1049,"2,01"
"""2019""","""Zeist""",63934,648,742,3623,"1,52"
"""2020""","""Zeist""",64905,619,791,4076,"0,21"
"""2021*""","""Zeist""",65043,681,780,4106,"1,42"
"""2019""","""Zelhem""",,,,,
"""2020""","""Zelhem""",,,,,
"""2021*""","""Zelhem""",,,,,
"""2019""","""Zevenaar""",43488,329,464,1597,"0,6"
"""2020""","""Zevenaar""",43750,355,481,1676,"0,79"
"""2021*""","""Zevenaar""",44096,415,504,1581,"1,24"
"""2019""","""Zevenhuizen-Moerkapelle""",,,,,
"""2020""","""Zevenhuizen-Moerkapelle""",,,,,
"""2021*""","""Zevenhuizen-Moerkapelle""",,,,,
"""2019""","""Zijpe""",,,,,
"""2020""","""Zijpe""",,,,,
"""2021*""","""Zijpe""",,,,,
"""2019""","""Zoetermeer""",124944,1234,903,4884,"0,27"
"""2020""","""Zoetermeer""",125285,1216,1002,5081,"-0,01"
"""2021*""","""Zoetermeer""",125267,1282,1005,4907,"0,39"
"""2019""","""Zoeterwoude""",8450,83,68,386,"1,83"
"""2020""","""Zoeterwoude""",8605,82,82,435,"2,77"
"""2021*""","""Zoeterwoude""",8843,99,82,384,"5,16"
"""2019""","""Zuidhorn""",,,,,
"""2020""","""Zuidhorn""",,,,,
"""2021*""","""Zuidhorn""",,,,,
"""2019""","""Zuidplas""",42762,505,273,1801,"2,63"
"""2020""","""Zuidplas""",43885,529,342,1882,"2,69"
"""2021*""","""Zuidplas""",45064,578,352,1843,"1,62"
"""2019""","""Zundert""",21612,190,234,622,1
"""2020""","""Zundert""",21829,198,245,688,"0,73"
"""2021*""","""Zundert""",21988,216,227,587,"1,22"
"""2019""","""Zutphen""",47609,392,498,2452,"0,68"
"""2020""","""Zutphen""",47934,383,469,2592,"0,37"
"""2021*""","""Zutphen""",48111,385,519,2691,"0,45"
"""2019""","""Zwartewaterland""",22503,293,175,694,"0,81"
"""2020""","""Zwartewaterland""",22685,311,203,687,"0,61"
"""2021*""","""Zwartewaterland""",22823,288,169,655,"0,84"
"""2019""","""Zwijndrecht""",44639,457,471,1979,"0,22"
"""2020""","""Zwijndrecht""",44737,406,558,1969,"0,08"
"""2021*""","""Zwijndrecht""",44775,490,535,2289,"-0,01"
"""2019""","""Zwolle""",127497,1460,953,5356,"1,05"
"""2020""","""Zwolle""",128840,1469,1036,5574,"0,78"
"""2021*""","""Zwolle""",129840,1452,1070,5557,"0,62"
